student_id,date,status
ST04597,2025-10-07,Absent
ST03950,2025-10-18,Late
ST03504,2025-09-10,Present
ST01016,2025-10-04,Present
ST04729,2025-12-28,Present
ST02935,2025-11-01,Present
ST01090,2025-11-15,Late
ST04047,2025-12-16,Late
ST00368,2025-09-16,Late
ST04572,2025-12-19,Late
ST00152,2025-11-30,Late
ST04461,2025-12-22,Late
ST02280,2025-11-03,Absent
ST00113,2025-10-06,Present
ST01796,2025-09-10,Late
ST01535,2025-09-26,Late
ST03943,2025-09-09,Late
ST00195,2025-12-19,Late
ST00157,2025-09-12,Present
ST04749,2025-09-01,Late
ST01419,2025-09-03,Present
ST01380,2025-11-29,Late
ST00706,2025-09-15,Absent
ST03294,2025-09-09,Late
ST01510,2025-12-03,Present
ST04202,2025-10-09,Present
ST01780,2025-10-31,Present
ST01466,2025-10-29,Late
ST00890,2025-09-19,Absent
ST04369,2025-12-21,Late
ST00061,2025-10-08,Late
ST04175,2025-11-10,Present
ST03726,2025-09-19,Present
ST02001,2025-09-08,Absent
ST04701,2025-09-16,Absent
ST03849,2025-10-08,Late
ST04843,2025-12-26,Late
ST03757,2025-10-13,Late
ST03007,2025-11-16,Absent
ST01801,2025-10-18,Present
ST02558,2025-10-30,Absent
ST00846,2025-12-01,Absent
ST01633,2025-12-27,Absent
ST01239,2025-12-09,Present
ST02487,2025-10-21,Absent
ST02751,2025-12-16,Late
ST00272,2025-12-03,Late
ST01977,2025-09-06,Present
ST02907,2025-10-13,Late
ST04441,2025-09-17,Absent
ST03164,2025-10-19,Late
ST01585,2025-10-21,Absent
ST03590,2025-11-22,Absent
ST04146,2025-10-25,Absent
ST02881,2025-09-28,Present
ST04202,2025-09-17,Late
ST00002,2025-11-22,Present
ST00019,2025-09-12,Absent
ST04262,2025-12-04,Present
ST04466,2025-12-05,Absent
ST02872,2025-11-19,Late
ST04119,2025-10-21,Absent
ST00115,2025-09-22,Present
ST01459,2025-12-26,Absent
ST01375,2025-12-13,Late
ST00264,2025-10-28,Present
ST03210,2025-09-29,Late
ST02756,2025-10-20,Late
ST02968,2025-11-10,Late
ST04194,2025-09-22,Late
ST02826,2025-10-27,Late
ST04890,2025-11-06,Absent
ST02553,2025-11-06,Present
ST04898,2025-11-22,Present
ST03359,2025-09-20,Present
ST03143,2025-09-16,Late
ST02644,2025-11-28,Absent
ST03352,2025-11-09,Absent
ST03830,2025-09-04,Present
ST01680,2025-10-05,Absent
ST03591,2025-09-25,Late
ST00911,2025-11-12,Late
ST03562,2025-10-09,Present
ST04312,2025-11-09,Absent
ST04529,2025-09-08,Present
ST01556,2025-10-20,Present
ST01608,2025-11-13,Absent
ST01945,2025-10-02,Late
ST02089,2025-09-10,Present
ST01542,2025-10-21,Late
ST04450,2025-12-30,Absent
ST03032,2025-09-03,Present
ST03358,2025-11-15,Absent
ST00735,2025-11-24,Absent
ST04930,2025-11-19,Present
ST04210,2025-10-10,Present
ST00919,2025-12-17,Absent
ST01925,2025-11-11,Late
ST00392,2025-10-03,Present
ST01310,2025-12-27,Absent
ST01067,2025-12-30,Absent
ST01235,2025-12-25,Absent
ST01987,2025-11-17,Late
ST02609,2025-09-23,Absent
ST00860,2025-09-22,Late
ST03131,2025-11-10,Absent
ST00064,2025-11-21,Absent
ST00145,2025-10-12,Present
ST02770,2025-11-15,Present
ST04291,2025-12-08,Late
ST03593,2025-10-12,Late
ST00878,2025-11-16,Late
ST03143,2025-12-28,Present
ST00639,2025-09-30,Absent
ST00717,2025-10-25,Late
ST02838,2025-09-27,Absent
ST02229,2025-10-27,Absent
ST02385,2025-11-24,Absent
ST01848,2025-09-16,Present
ST01555,2025-12-03,Late
ST03008,2025-11-29,Late
ST02650,2025-09-12,Present
ST00257,2025-10-23,Present
ST03679,2025-11-08,Absent
ST00226,2025-12-05,Present
ST04523,2025-12-07,Present
ST00537,2025-12-27,Present
ST03463,2025-12-16,Present
ST01685,2025-12-05,Late
ST03246,2025-11-08,Late
ST04496,2025-12-08,Present
ST00977,2025-11-07,Absent
ST00833,2025-12-10,Late
ST00672,2025-12-26,Late
ST01159,2025-12-02,Present
ST03708,2025-12-16,Absent
ST02631,2025-09-23,Present
ST00683,2025-12-05,Absent
ST00502,2025-10-21,Absent
ST01428,2025-12-15,Late
ST01671,2025-09-19,Present
ST01527,2025-11-30,Late
ST02552,2025-12-30,Absent
ST04016,2025-11-07,Present
ST01650,2025-10-22,Late
ST00805,2025-10-14,Absent
ST04870,2025-11-25,Absent
ST03655,2025-12-04,Absent
ST02126,2025-09-01,Present
ST04585,2025-09-20,Absent
ST02012,2025-12-15,Present
ST04945,2025-11-02,Absent
ST04567,2025-09-23,Late
ST01816,2025-10-03,Absent
ST04602,2025-12-27,Late
ST04769,2025-11-23,Absent
ST01057,2025-09-28,Present
ST01390,2025-11-14,Late
ST01653,2025-12-09,Late
ST04180,2025-11-07,Late
ST04133,2025-12-18,Late
ST01124,2025-09-21,Present
ST04814,2025-12-22,Present
ST04538,2025-09-21,Late
ST00398,2025-10-31,Late
ST01091,2025-10-21,Present
ST04769,2025-09-14,Absent
ST04155,2025-11-22,Late
ST00923,2025-10-18,Late
ST01948,2025-10-25,Late
ST02910,2025-10-06,Present
ST02448,2025-12-16,Late
ST03233,2025-10-03,Late
ST00050,2025-10-02,Absent
ST01886,2025-09-14,Late
ST02396,2025-10-30,Late
ST01575,2025-10-03,Late
ST03872,2025-10-22,Present
ST01279,2025-11-28,Present
ST00642,2025-11-07,Late
ST01479,2025-09-25,Absent
ST02092,2025-10-28,Late
ST00737,2025-11-23,Present
ST03283,2025-10-04,Late
ST01989,2025-11-24,Late
ST00790,2025-12-05,Present
ST04922,2025-09-22,Absent
ST01770,2025-12-25,Absent
ST03525,2025-09-01,Late
ST00756,2025-10-03,Absent
ST03288,2025-10-29,Present
ST04792,2025-12-17,Present
ST03309,2025-11-10,Absent
ST04005,2025-09-17,Present
ST00830,2025-10-02,Absent
ST03976,2025-12-22,Late
ST00838,2025-10-01,Late
ST03018,2025-12-23,Late
ST00686,2025-10-08,Present
ST02019,2025-12-10,Late
ST02987,2025-10-28,Late
ST02710,2025-10-15,Late
ST03942,2025-11-19,Late
ST03823,2025-09-14,Present
ST02265,2025-09-01,Present
ST02662,2025-10-20,Absent
ST00445,2025-12-03,Present
ST04490,2025-10-14,Present
ST03678,2025-12-05,Present
ST02725,2025-12-11,Late
ST02271,2025-11-11,Present
ST00114,2025-10-20,Present
ST02409,2025-09-09,Present
ST04881,2025-11-11,Late
ST03733,2025-12-18,Late
ST00548,2025-10-29,Late
ST01575,2025-12-17,Present
ST04481,2025-09-01,Absent
ST04637,2025-10-15,Late
ST01393,2025-09-18,Present
ST01550,2025-09-05,Present
ST00250,2025-11-19,Absent
ST03416,2025-12-29,Present
ST00639,2025-12-23,Present
ST04012,2025-10-26,Late
ST02108,2025-10-04,Late
ST01709,2025-12-10,Late
ST04897,2025-10-18,Late
ST03832,2025-11-16,Absent
ST03971,2025-11-11,Present
ST03955,2025-09-03,Late
ST00838,2025-10-15,Absent
ST01269,2025-10-31,Late
ST03862,2025-12-21,Absent
ST00846,2025-09-20,Late
ST02326,2025-12-25,Absent
ST00609,2025-09-21,Late
ST01841,2025-10-15,Late
ST02036,2025-12-11,Late
ST00445,2025-12-07,Present
ST00825,2025-09-24,Absent
ST01092,2025-11-14,Absent
ST02207,2025-10-27,Absent
ST02388,2025-10-24,Late
ST01612,2025-09-29,Absent
ST01748,2025-12-27,Present
ST02509,2025-11-03,Absent
ST01401,2025-09-24,Absent
ST02570,2025-12-05,Absent
ST04422,2025-10-26,Absent
ST01594,2025-12-03,Present
ST02140,2025-12-19,Absent
ST04064,2025-12-26,Present
ST02233,2025-10-31,Present
ST02941,2025-09-02,Present
ST02249,2025-12-15,Present
ST00164,2025-09-20,Late
ST00593,2025-12-22,Absent
ST01208,2025-10-22,Absent
ST02575,2025-09-12,Present
ST04011,2025-10-18,Absent
ST02849,2025-12-13,Present
ST02754,2025-12-23,Late
ST03222,2025-10-15,Absent
ST00992,2025-09-27,Absent
ST02038,2025-11-07,Present
ST03065,2025-11-04,Absent
ST04493,2025-12-07,Late
ST03951,2025-09-08,Present
ST03382,2025-12-26,Present
ST04762,2025-11-06,Absent
ST02081,2025-09-16,Present
ST03506,2025-09-22,Late
ST00086,2025-11-04,Late
ST04708,2025-12-04,Present
ST04786,2025-11-29,Present
ST03320,2025-11-01,Absent
ST00551,2025-10-22,Late
ST03964,2025-12-20,Late
ST00487,2025-11-06,Late
ST03727,2025-10-19,Present
ST00340,2025-11-05,Absent
ST01130,2025-10-01,Late
ST04866,2025-09-27,Present
ST02128,2025-12-08,Absent
ST02736,2025-12-28,Present
ST00756,2025-12-06,Late
ST00126,2025-12-16,Present
ST02467,2025-09-22,Absent
ST01392,2025-10-22,Absent
ST01525,2025-10-10,Late
ST00083,2025-09-20,Absent
ST02507,2025-09-24,Present
ST02285,2025-10-17,Present
ST03640,2025-09-17,Late
ST02748,2025-10-02,Absent
ST04346,2025-10-20,Present
ST00245,2025-10-29,Absent
ST01586,2025-12-30,Absent
ST04598,2025-11-15,Present
ST02428,2025-09-15,Present
ST02704,2025-09-24,Present
ST03877,2025-10-06,Late
ST04293,2025-12-20,Absent
ST03262,2025-12-04,Present
