student_id,subject,score
ST00001,Mathematics,48
ST00001,English,61
ST00001,Amharic,62
ST00001,Biology,83
ST00001,Chemistry,57
ST00002,Mathematics,46
ST00002,English,71
ST00002,Amharic,56
ST00002,Biology,56
ST00002,Chemistry,84
ST00003,Mathematics,84
ST00003,English,58
ST00003,Amharic,74
ST00003,Biology,92
ST00003,Chemistry,75
ST00004,Mathematics,91
ST00004,English,97
ST00004,Amharic,72
ST00004,Biology,81
ST00004,Chemistry,62
ST00005,Mathematics,86
ST00005,English,40
ST00005,Amharic,43
ST00005,Biology,78
ST00005,Chemistry,100
ST00006,Mathematics,87
ST00006,English,58
ST00006,Amharic,79
ST00006,Biology,62
ST00006,Chemistry,64
ST00007,Mathematics,97
ST00007,English,44
ST00007,Amharic,63
ST00007,Biology,65
ST00007,Chemistry,76
ST00008,Mathematics,95
ST00008,English,41
ST00008,Amharic,49
ST00008,Biology,89
ST00008,Chemistry,87
ST00009,Mathematics,86
ST00009,English,53
ST00009,Amharic,71
ST00009,Biology,67
ST00009,Chemistry,70
ST00010,Mathematics,54
ST00010,English,94
ST00010,Amharic,87
ST00010,Biology,56
ST00010,Chemistry,87
ST00011,Mathematics,85
ST00011,English,97
ST00011,Amharic,43
ST00011,Biology,77
ST00011,Chemistry,90
ST00012,Mathematics,74
ST00012,English,57
ST00012,Amharic,91
ST00012,Biology,92
ST00012,Chemistry,42
ST00013,Mathematics,45
ST00013,English,49
ST00013,Amharic,95
ST00013,Biology,44
ST00013,Chemistry,69
ST00014,Mathematics,88
ST00014,English,47
ST00014,Amharic,57
ST00014,Biology,73
ST00014,Chemistry,72
ST00015,Mathematics,57
ST00015,English,55
ST00015,Amharic,72
ST00015,Biology,55
ST00015,Chemistry,51
ST00016,Mathematics,81
ST00016,English,47
ST00016,Amharic,57
ST00016,Biology,91
ST00016,Chemistry,47
ST00017,Mathematics,96
ST00017,English,56
ST00017,Amharic,50
ST00017,Biology,75
ST00017,Chemistry,43
ST00018,Mathematics,92
ST00018,English,74
ST00018,Amharic,47
ST00018,Biology,55
ST00018,Chemistry,95
ST00019,Mathematics,82
ST00019,English,59
ST00019,Amharic,40
ST00019,Biology,84
ST00019,Chemistry,92
ST00020,Mathematics,56
ST00020,English,55
ST00020,Amharic,91
ST00020,Biology,47
ST00020,Chemistry,93
ST00021,Mathematics,68
ST00021,English,51
ST00021,Amharic,71
ST00021,Biology,50
ST00021,Chemistry,48
ST00022,Mathematics,93
ST00022,English,96
ST00022,Amharic,44
ST00022,Biology,64
ST00022,Chemistry,91
ST00023,Mathematics,72
ST00023,English,86
ST00023,Amharic,50
ST00023,Biology,73
ST00023,Chemistry,76
ST00024,Mathematics,83
ST00024,English,62
ST00024,Amharic,43
ST00024,Biology,92
ST00024,Chemistry,76
ST00025,Mathematics,43
ST00025,English,64
ST00025,Amharic,95
ST00025,Biology,42
ST00025,Chemistry,78
ST00026,Mathematics,97
ST00026,English,71
ST00026,Amharic,61
ST00026,Biology,56
ST00026,Chemistry,71
ST00027,Mathematics,99
ST00027,English,95
ST00027,Amharic,74
ST00027,Biology,48
ST00027,Chemistry,54
ST00028,Mathematics,64
ST00028,English,83
ST00028,Amharic,48
ST00028,Biology,86
ST00028,Chemistry,86
ST00029,Mathematics,80
ST00029,English,89
ST00029,Amharic,49
ST00029,Biology,49
ST00029,Chemistry,43
ST00030,Mathematics,71
ST00030,English,51
ST00030,Amharic,96
ST00030,Biology,80
ST00030,Chemistry,73
ST00031,Mathematics,86
ST00031,English,100
ST00031,Amharic,53
ST00031,Biology,56
ST00031,Chemistry,87
ST00032,Mathematics,57
ST00032,English,58
ST00032,Amharic,73
ST00032,Biology,44
ST00032,Chemistry,49
ST00033,Mathematics,52
ST00033,English,96
ST00033,Amharic,45
ST00033,Biology,86
ST00033,Chemistry,62
ST00034,Mathematics,100
ST00034,English,81
ST00034,Amharic,69
ST00034,Biology,60
ST00034,Chemistry,60
ST00035,Mathematics,99
ST00035,English,99
ST00035,Amharic,96
ST00035,Biology,57
ST00035,Chemistry,99
ST00036,Mathematics,44
ST00036,English,81
ST00036,Amharic,53
ST00036,Biology,67
ST00036,Chemistry,97
ST00037,Mathematics,50
ST00037,English,57
ST00037,Amharic,77
ST00037,Biology,42
ST00037,Chemistry,73
ST00038,Mathematics,47
ST00038,English,42
ST00038,Amharic,69
ST00038,Biology,52
ST00038,Chemistry,65
ST00039,Mathematics,59
ST00039,English,89
ST00039,Amharic,76
ST00039,Biology,76
ST00039,Chemistry,47
ST00040,Mathematics,51
ST00040,English,88
ST00040,Amharic,70
ST00040,Biology,87
ST00040,Chemistry,77
ST00041,Mathematics,56
ST00041,English,49
ST00041,Amharic,56
ST00041,Biology,49
ST00041,Chemistry,49
ST00042,Mathematics,45
ST00042,English,89
ST00042,Amharic,82
ST00042,Biology,84
ST00042,Chemistry,66
ST00043,Mathematics,71
ST00043,English,41
ST00043,Amharic,82
ST00043,Biology,77
ST00043,Chemistry,84
ST00044,Mathematics,45
ST00044,English,47
ST00044,Amharic,98
ST00044,Biology,78
ST00044,Chemistry,99
ST00045,Mathematics,90
ST00045,English,61
ST00045,Amharic,86
ST00045,Biology,46
ST00045,Chemistry,71
ST00046,Mathematics,85
ST00046,English,98
ST00046,Amharic,87
ST00046,Biology,84
ST00046,Chemistry,66
ST00047,Mathematics,93
ST00047,English,99
ST00047,Amharic,76
ST00047,Biology,81
ST00047,Chemistry,98
ST00048,Mathematics,49
ST00048,English,53
ST00048,Amharic,60
ST00048,Biology,57
ST00048,Chemistry,63
ST00049,Mathematics,88
ST00049,English,70
ST00049,Amharic,43
ST00049,Biology,83
ST00049,Chemistry,54
ST00050,Mathematics,63
ST00050,English,64
ST00050,Amharic,63
ST00050,Biology,53
ST00050,Chemistry,69
ST00051,Mathematics,87
ST00051,English,89
ST00051,Amharic,93
ST00051,Biology,64
ST00051,Chemistry,94
ST00052,Mathematics,95
ST00052,English,42
ST00052,Amharic,83
ST00052,Biology,82
ST00052,Chemistry,74
ST00053,Mathematics,90
ST00053,English,86
ST00053,Amharic,70
ST00053,Biology,62
ST00053,Chemistry,94
ST00054,Mathematics,60
ST00054,English,95
ST00054,Amharic,98
ST00054,Biology,43
ST00054,Chemistry,86
ST00055,Mathematics,48
ST00055,English,82
ST00055,Amharic,61
ST00055,Biology,60
ST00055,Chemistry,43
ST00056,Mathematics,69
ST00056,English,70
ST00056,Amharic,51
ST00056,Biology,59
ST00056,Chemistry,62
ST00057,Mathematics,55
ST00057,English,56
ST00057,Amharic,46
ST00057,Biology,75
ST00057,Chemistry,74
ST00058,Mathematics,50
ST00058,English,75
ST00058,Amharic,54
ST00058,Biology,89
ST00058,Chemistry,86
ST00059,Mathematics,47
ST00059,English,73
ST00059,Amharic,49
ST00059,Biology,41
ST00059,Chemistry,85
ST00060,Mathematics,84
ST00060,English,60
ST00060,Amharic,75
ST00060,Biology,56
ST00060,Chemistry,95
ST00061,Mathematics,46
ST00061,English,47
ST00061,Amharic,77
ST00061,Biology,51
ST00061,Chemistry,50
ST00062,Mathematics,94
ST00062,English,71
ST00062,Amharic,97
