student_id,amount,payment_date,method
ST00001,4000,2025-01-01,Mobile
ST00002,3000,2025-05-18,Mobile
ST00003,3000,2025-07-13,Bank Transfer
ST00004,3500,2025-01-27,Bank Transfer
ST00005,3500,2025-07-07,Bank Transfer
ST00006,3000,2025-07-03,Mobile
ST00007,3500,2025-06-04,Bank Transfer
ST00008,4000,2025-01-05,Cash
ST00009,3000,2025-02-24,Cash
ST00010,3000,2025-06-03,Mobile
ST00011,3000,2025-01-15,Cash
ST00012,3000,2025-02-26,Mobile
ST00013,3500,2025-07-18,Bank Transfer
ST00014,3000,2025-03-28,Mobile
ST00015,3000,2025-04-30,Cash
ST00016,4000,2025-01-30,Cash
ST00017,3000,2025-06-21,Cash
ST00018,4000,2025-06-27,Bank Transfer
ST00019,3500,2025-02-02,Bank Transfer
ST00020,3500,2025-01-21,Bank Transfer
ST00021,4000,2025-02-14,Bank Transfer
ST00022,4000,2025-03-30,Cash
ST00023,4000,2025-01-25,Bank Transfer
ST00024,3000,2025-02-15,Mobile
ST00025,3000,2025-01-09,Bank Transfer
ST00026,3500,2025-07-13,Mobile
ST00027,4000,2025-06-20,Cash
ST00028,4000,2025-04-23,Cash
ST00029,4000,2025-03-15,Mobile
ST00030,4000,2025-03-14,Mobile
ST00031,3500,2025-03-09,Cash
ST00032,3500,2025-03-21,Mobile
ST00033,3500,2025-03-18,Cash
ST00034,3500,2025-04-14,Bank Transfer
ST00035,3000,2025-04-01,Mobile
ST00036,3000,2025-05-22,Mobile
ST00037,3000,2025-01-03,Mobile
ST00038,3500,2025-06-10,Mobile
ST00039,4000,2025-06-03,Mobile
ST00040,4000,2025-02-15,Cash
ST00041,4000,2025-06-26,Cash
ST00042,3500,2025-03-26,Bank Transfer
ST00043,3000,2025-01-21,Cash
ST00044,4000,2025-01-07,Cash
ST00045,3000,2025-05-21,Cash
ST00046,3500,2025-02-20,Bank Transfer
ST00047,4000,2025-01-12,Bank Transfer
ST00048,3500,2025-03-07,Cash
ST00049,4000,2025-02-18,Bank Transfer
ST00050,3000,2025-02-27,Bank Transfer
ST00051,3000,2025-07-19,Cash
ST00052,3500,2025-06-04,Bank Transfer
ST00053,4000,2025-06-01,Cash
ST00054,3500,2025-05-13,Mobile
ST00055,4000,2025-04-29,Cash
ST00056,3500,2025-05-12,Cash
ST00057,3000,2025-04-22,Mobile
ST00058,4000,2025-01-11,Bank Transfer
ST00059,3000,2025-04-15,Bank Transfer
ST00060,3000,2025-04-12,Bank Transfer
ST00061,3000,2025-01-03,Mobile
ST00062,3500,2025-01-04,Cash
ST00063,3000,2025-05-12,Mobile
ST00064,3500,2025-02-16,Cash
ST00065,4000,2025-04-07,Cash
ST00066,3000,2025-03-29,Bank Transfer
ST00067,3500,2025-04-03,Mobile
ST00068,3500,2025-06-02,Mobile
ST00069,4000,2025-06-23,Bank Transfer
ST00070,4000,2025-05-09,Cash
ST00071,4000,2025-05-20,Bank Transfer
ST00072,3500,2025-06-06,Bank Transfer
ST00073,4000,2025-03-21,Mobile
ST00074,3000,2025-05-28,Bank Transfer
ST00075,4000,2025-01-17,Mobile
ST00076,4000,2025-03-08,Mobile
ST00077,4000,2025-07-18,Mobile
ST00078,3000,2025-05-18,Mobile
ST00079,3500,2025-03-15,Bank Transfer
ST00080,3000,2025-02-07,Bank Transfer
ST00081,3500,2025-06-23,Mobile
ST00082,3000,2025-01-22,Mobile
ST00083,4000,2025-01-05,Bank Transfer
ST00084,4000,2025-05-12,Bank Transfer
ST00085,4000,2025-02-21,Bank Transfer
ST00086,3000,2025-02-26,Bank Transfer
ST00087,3500,2025-03-19,Bank Transfer
ST00088,3500,2025-06-22,Mobile
ST00089,3500,2025-01-20,Bank Transfer
ST00090,4000,2025-05-07,Bank Transfer
ST00091,3000,2025-03-16,Cash
ST00092,3000,2025-02-11,Bank Transfer
ST00093,3500,2025-04-15,Mobile
ST00094,3000,2025-04-14,Bank Transfer
ST00095,3000,2025-01-19,Mobile
ST00096,3000,2025-05-30,Mobile
ST00097,4000,2025-02-12,Mobile
ST00098,3000,2025-03-27,Bank Transfer
ST00099,3500,2025-01-23,Bank Transfer
ST00100,3500,2025-06-09,Bank Transfer
ST00101,4000,2025-05-26,Bank Transfer
ST00102,4000,2025-04-06,Bank Transfer
ST00103,3000,2025-07-04,Mobile
ST00104,4000,2025-05-01,Bank Transfer
ST00105,3500,2025-04-04,Mobile
ST00106,3500,2025-04-17,Bank Transfer
ST00107,3500,2025-01-16,Cash
ST00108,3500,2025-02-28,Mobile
ST00109,4000,2025-01-21,Bank Transfer
ST00110,3500,2025-01-16,Cash
ST00111,4000,2025-06-23,Mobile
ST00112,4000,2025-04-17,Bank Transfer
ST00113,3000,2025-04-30,Cash
ST00114,4000,2025-04-30,Mobile
ST00115,3000,2025-03-30,Cash
ST00116,3500,2025-04-18,Cash
ST00117,3500,2025-03-10,Cash
ST00118,3000,2025-01-25,Cash
ST00119,3000,2025-01-13,Cash
ST00120,4000,2025-05-20,Mobile
ST00121,3000,2025-03-30,Mobile
ST00122,4000,2025-02-21,Cash
ST00123,3000,2025-01-27,Cash
ST00124,3000,2025-02-18,Mobile
ST00125,3000,2025-01-24,Mobile
ST00126,4000,2025-06-18,Bank Transfer
ST00127,4000,2025-07-16,Cash
ST00128,3000,2025-03-15,Bank Transfer
ST00129,3500,2025-04-29,Mobile
ST00130,3000,2025-06-01,Bank Transfer
ST00131,4000,2025-04-17,Cash
ST00132,3000,2025-05-21,Mobile
ST00133,4000,2025-07-08,Mobile
ST00134,3000,2025-01-20,Cash
ST00135,3000,2025-06-09,Mobile
ST00136,3500,2025-03-20,Bank Transfer
ST00137,3000,2025-05-30,Bank Transfer
ST00138,3000,2025-07-20,Bank Transfer
ST00139,3000,2025-04-26,Bank Transfer
ST00140,3000,2025-05-18,Mobile
ST00141,3500,2025-02-25,Mobile
ST00142,4000,2025-02-19,Cash
ST00143,4000,2025-05-01,Bank Transfer
ST00144,3500,2025-01-03,Mobile
ST00145,3500,2025-05-21,Cash
ST00146,3000,2025-03-14,Bank Transfer
ST00147,3500,2025-06-05,Bank Transfer
ST00148,3500,2025-05-27,Mobile
ST00149,3500,2025-04-10,Bank Transfer
ST00150,3000,2025-04-14,Cash
ST00151,4000,2025-05-19,Cash
ST00152,3500,2025-02-21,Mobile
ST00153,3000,2025-01-28,Cash
ST00154,3000,2025-05-21,Mobile
ST00155,4000,2025-03-24,Cash
ST00156,3500,2025-07-06,Bank Transfer
ST00157,3000,2025-02-16,Mobile
ST00158,4000,2025-03-22,Cash
ST00159,4000,2025-05-15,Mobile
ST00160,3500,2025-04-30,Bank Transfer
ST00161,3500,2025-01-22,Cash
ST00162,3500,2025-04-05,Cash
ST00163,3500,2025-03-29,Bank Transfer
ST00164,3000,2025-05-13,Bank Transfer
ST00165,3500,2025-02-12,Cash
ST00166,3000,2025-03-18,Bank Transfer
ST00167,3500,2025-04-19,Mobile
ST00168,3000,2025-07-20,Bank Transfer
ST00169,3000,2025-03-26,Bank Transfer
ST00170,4000,2025-04-16,Mobile
ST00171,4000,2025-01-24,Cash
ST00172,4000,2025-01-12,Mobile
ST00173,3000,2025-02-16,Mobile
ST00174,3000,2025-01-04,Bank Transfer
ST00175,3500,2025-03-14,Bank Transfer
ST00176,4000,2025-06-25,Cash
ST00177,4000,2025-06-24,Cash
ST00178,3000,2025-01-19,Cash
ST00179,4000,2025-07-18,Cash
ST00180,3000,2025-03-04,Cash
ST00181,3500,2025-01-16,Mobile
ST00182,3000,2025-07-05,Cash
ST00183,3000,2025-04-21,Mobile
ST00184,3500,2025-02-20,Mobile
ST00185,3000,2025-01-11,Bank Transfer
ST00186,4000,2025-02-09,Mobile
ST00187,3500,2025-02-09,Bank Transfer
ST00188,4000,2025-04-01,Bank Transfer
ST00189,3500,2025-01-31,Bank Transfer
ST00190,4000,2025-03-26,Cash
ST00191,3500,2025-03-18,Cash
ST00192,3500,2025-04-30,Cash
ST00193,3000,2025-01-04,Cash
ST00194,4000,2025-05-01,Cash
ST00195,4000,2025-03-12,Cash
ST00196,3000,2025-03-29,Cash
ST00197,4000,2025-04-02,Bank Transfer
ST00198,3000,2025-04-07,Cash
ST00199,4000,2025-02-19,Cash
ST00200,3000,2025-02-05,Mobile
ST00201,3500,2025-02-22,Bank Transfer
ST00202,3000,2025-06-07,Mobile
ST00203,3000,2025-04-02,Cash
ST00204,3000,2025-07-13,Bank Transfer
ST00205,3500,2025-06-05,Bank Transfer
ST00206,3500,2025-05-16,Bank Transfer
ST00207,3500,2025-03-29,Bank Transfer
ST00208,3500,2025-06-29,Mobile
ST00209,3500,2025-04-25,Mobile
ST00210,4000,2025-04-07,Bank Transfer
ST00211,3500,2025-03-18,Bank Transfer
ST00212,4000,2025-06-15,Mobile
ST00213,4000,2025-07-14,Cash
ST00214,4000,2025-03-23,Mobile
ST00215,3500,2025-07-05,Cash
ST00216,3000,2025-04-19,Bank Transfer
ST00217,4000,2025-03-30,Bank Transfer
ST00218,3500,2025-03-06,Cash
ST00219,3000,2025-02-11,Cash
ST00220,3000,2025-05-28,Bank Transfer
ST00221,3500,2025-04-07,Mobile
ST00222,3000,2025-06-23,Cash
ST00223,3500,2025-07-10,Bank Transfer
ST00224,4000,2025-04-17,Bank Transfer
ST00225,3000,2025-03-19,Bank Transfer
ST00226,4000,2025-07-04,Cash
ST00227,3000,2025-07-17,Mobile
ST00228,3500,2025-04-20,Mobile
ST00229,3500,2025-01-29,Bank Transfer
ST00230,4000,2025-06-17,Cash
ST00231,3000,2025-02-24,Cash
ST00232,3000,2025-05-27,Cash
ST00233,4000,2025-01-16,Bank Transfer
ST00234,4000,2025-07-20,Mobile
ST00235,3500,2025-06-23,Cash
ST00236,4000,2025-06-17,Bank Transfer
ST00237,4000,2025-04-27,Mobile
ST00238,3500,2025-05-09,Cash
ST00239,3000,2025-03-17,Mobile
ST00240,3000,2025-05-17,Mobile
ST00241,3500,2025-06-27,Bank Transfer
ST00242,3500,2025-03-25,Bank Transfer
ST00243,3500,2025-05-21,Bank Transfer
ST00244,4000,2025-03-11,Bank Transfer
ST00245,3500,2025-06-05,Mobile
ST00246,4000,2025-04-07,Bank Transfer
ST00247,4000,2025-01-15,Bank Transfer
ST00248,4000,2025-04-15,Bank Transfer
ST00249,4000,2025-05-19,Cash
ST00250,3500,2025-06-04,Bank Transfer
ST00251,4000,2025-01-07,Mobile
ST00252,4000,2025-04-03,Mobile
ST00253,4000,2025-05-03,Cash
ST00254,3500,2025-06-19,Mobile
ST00255,4000,2025-07-05,Cash
ST00256,3500,2025-06-15,Cash
ST00257,3500,2025-02-02,Mobile
ST00258,3000,2025-04-12,Cash
ST00259,4000,2025-02-25,Mobile
ST00260,3500,2025-03-17,Cash
ST00261,3000,2025-05-05,Mobile
ST00262,4000,2025-03-31,Cash
ST00263,4000,2025-02-07,Mobile
ST00264,3500,2025-01-03,Mobile
ST00265,4000,2025-06-23,Cash
ST00266,3000,2025-01-26,Mobile
ST00267,3000,2025-01-14,Cash
ST00268,3500,2025-01-31,Mobile
ST00269,3500,2025-03-08,Bank Transfer
ST00270,3500,2025-02-10,Mobile
ST00271,4000,2025-01-16,Bank Transfer
ST00272,3500,2025-02-24,Bank Transfer
ST00273,4000,2025-04-25,Cash
ST00274,3000,2025-05-15,Cash
ST00275,3000,2025-01-31,Mobile
ST00276,3500,2025-03-10,Bank Transfer
ST00277,4000,2025-07-07,Mobile
ST00278,4000,2025-03-31,Mobile
ST00279,3000,2025-02-07,Mobile
ST00280,3000,2025-04-07,Mobile
ST00281,3000,2025-05-05,Bank Transfer
ST00282,3500,2025-03-09,Cash
ST00283,4000,2025-03-03,Cash
ST00284,3000,2025-06-04,Bank Transfer
ST00285,3000,2025-06-11,Mobile
ST00286,3500,2025-02-04,Bank Transfer
ST00287,3500,2025-03-03,Bank Transfer
ST00288,4000,2025-01-22,Mobile
ST00289,3000,2025-03-14,Bank Transfer
ST00290,3500,2025-03-21,Bank Transfer
ST00291,3000,2025-01-06,Cash
ST00292,3000,2025-01-10,Mobile
ST00293,4000,2025-07-02,Mobile
ST00294,4000,2025-01-14,Cash
ST00295,4000,2025-07-14,Mobile
ST00296,3500,2025-04-18,Bank Transfer
ST00297,3500,2025-05-19,Bank Transfer
ST00298,3500,2025-06-21,Mobile
ST00299,4000,2025-04-05,Cash
ST00300,3500,2025-05-11,Bank Transfer
ST00301,3000,2025-03-12,Bank Transfer
ST00302,3500,2025-01-30,Bank Transfer
ST00303,4000,2025-01-19,Bank Transfer
ST00304,3000,2025-05-28,Mobile
ST00305,4000,2025-03-16,Cash
ST00306,4000,2025-07-08,Mobile
ST00307,4000,2025-06-16,Cash
ST00308,3500,2025-04-10,Mobile
ST00309,3500,2025-02-16,Bank Transfer
ST00310,4000,2025-01-27,Bank Transfer
ST00311,4000,2025-05-01,Cash
ST00312,4000,2025-03-17,Cash
ST00313,4000,2025-02-18,Bank Transfer
ST00314,3000,2025-06-18,Mobile
ST00315,3500,2025-07-07,Cash
ST00316,4000,2025-04-06,Cash
ST00317,4000,2025-03-30,Mobile
ST00318,3000,2025-02-04,Mobile
ST00319,3500,2025-04-07,Bank Transfer
ST00320,3000,2025-07-15,Bank Transfer
ST00321,3000,2025-03-24,Cash
ST00322,3000,2025-04-27,Cash
ST00323,4000,2025-01-28,Bank Transfer
ST00324,3500,2025-06-22,Cash
ST00325,4000,2025-06-17,Cash
ST00326,4000,2025-07-12,Mobile
ST00327,3500,2025-05-06,Bank Transfer
ST00328,4000,2025-05-05,Bank Transfer
ST00329,4000,2025-01-09,Bank Transfer
ST00330,4000,2025-07-17,Cash
ST00331,3000,2025-03-02,Mobile
ST00332,4000,2025-03-03,Mobile
ST00333,4000,2025-02-26,Bank Transfer
ST00334,3000,2025-04-11,Bank Transfer
ST00335,4000,2025-05-15,Mobile
ST00336,3000,2025-02-23,Mobile
ST00337,4000,2025-01-29,Cash
ST00338,3000,2025-05-22,Mobile
ST00339,3000,2025-07-01,Bank Transfer
ST00340,3500,2025-02-05,Cash
ST00341,4000,2025-02-08,Cash
ST00342,4000,2025-05-08,Bank Transfer
ST00343,3000,2025-01-05,Cash
ST00344,4000,2025-05-06,Mobile
ST00345,3000,2025-03-06,Mobile
ST00346,3500,2025-04-21,Mobile
ST00347,4000,2025-07-03,Bank Transfer
ST00348,3000,2025-05-08,Bank Transfer
ST00349,3000,2025-03-28,Cash
ST00350,3000,2025-01-27,Bank Transfer
ST00351,3500,2025-01-21,Mobile
ST00352,3500,2025-04-12,Bank Transfer
ST00353,3000,2025-06-30,Bank Transfer
ST00354,4000,2025-03-28,Mobile
ST00355,3000,2025-04-16,Mobile
ST00356,3500,2025-07-20,Bank Transfer
ST00357,3500,2025-02-24,Bank Transfer
ST00358,4000,2025-07-17,Mobile
ST00359,3500,2025-03-07,Cash
ST00360,4000,2025-07-10,Bank Transfer
ST00361,4000,2025-05-12,Mobile
ST00362,4000,2025-01-20,Mobile
ST00363,3500,2025-03-04,Cash
ST00364,3000,2025-05-07,Bank Transfer
ST00365,3000,2025-02-08,Bank Transfer
ST00366,4000,2025-04-12,Bank Transfer
ST00367,3500,2025-05-11,Bank Transfer
ST00368,4000,2025-02-14,Mobile
ST00369,3000,2025-02-06,Bank Transfer
ST00370,3500,2025-05-28,Cash
ST00371,4000,2025-05-09,Cash
ST00372,3000,2025-04-04,Cash
ST00373,3000,2025-06-04,Bank Transfer
ST00374,4000,2025-05-29,Bank Transfer
ST00375,3500,2025-01-22,Bank Transfer
ST00376,3000,2025-01-03,Mobile
ST00377,4000,2025-01-19,Bank Transfer
ST00378,3000,2025-05-11,Cash
ST00379,3500,2025-07-06,Mobile
ST00380,3500,2025-02-08,Cash
ST00381,4000,2025-02-01,Mobile
ST00382,3500,2025-01-12,Mobile
ST00383,3000,2025-04-08,Cash
ST00384,3000,2025-06-06,Cash
ST00385,3500,2025-04-10,Mobile
ST00386,4000,2025-06-20,Cash
ST00387,3000,2025-04-30,Cash
ST00388,3500,2025-03-10,Bank Transfer
ST00389,3500,2025-02-16,Bank Transfer
ST00390,3000,2025-07-17,Bank Transfer
ST00391,3500,2025-01-11,Mobile
ST00392,4000,2025-03-09,Bank Transfer
ST00393,3500,2025-03-05,Bank Transfer
ST00394,3000,2025-03-17,Bank Transfer
ST00395,3500,2025-01-06,Mobile
ST00396,3000,2025-03-26,Cash
ST00397,4000,2025-02-12,Bank Transfer
ST00398,4000,2025-01-18,Mobile
ST00399,3500,2025-02-08,Cash
ST00400,3000,2025-07-02,Mobile
ST00401,3000,2025-07-02,Bank Transfer
ST00402,3500,2025-03-06,Mobile
ST00403,3500,2025-05-25,Mobile
ST00404,3000,2025-06-22,Bank Transfer
ST00405,4000,2025-03-17,Cash
ST00406,3000,2025-06-12,Bank Transfer
ST00407,3000,2025-01-31,Mobile
ST00408,3500,2025-02-09,Bank Transfer
ST00409,3000,2025-07-09,Mobile
ST00410,3000,2025-06-25,Mobile
ST00411,3500,2025-05-13,Cash
ST00412,3000,2025-05-24,Mobile
ST00413,3000,2025-01-01,Mobile
ST00414,3000,2025-03-31,Bank Transfer
ST00415,4000,2025-06-02,Bank Transfer
ST00416,3000,2025-03-06,Bank Transfer
ST00417,3000,2025-04-17,Cash
ST00418,4000,2025-05-14,Mobile
ST00419,3000,2025-01-26,Cash
ST00420,4000,2025-03-06,Cash
ST00421,4000,2025-05-07,Mobile
ST00422,3000,2025-03-18,Cash
ST00423,3000,2025-01-14,Cash
ST00424,4000,2025-06-22,Mobile
ST00425,3500,2025-04-27,Mobile
ST00426,4000,2025-01-05,Mobile
ST00427,3000,2025-03-05,Bank Transfer
ST00428,3500,2025-03-14,Mobile
ST00429,4000,2025-03-18,Mobile
ST00430,3500,2025-05-08,Cash
ST00431,3500,2025-07-17,Mobile
ST00432,3000,2025-03-28,Cash
ST00433,4000,2025-06-05,Cash
ST00434,4000,2025-07-10,Mobile
ST00435,3500,2025-03-27,Cash
ST00436,3000,2025-02-03,Bank Transfer
ST00437,4000,2025-06-13,Mobile
ST00438,4000,2025-05-27,Cash
ST00439,3000,2025-07-11,Cash
ST00440,3000,2025-01-01,Mobile
ST00441,4000,2025-03-14,Bank Transfer
ST00442,4000,2025-02-09,Mobile
ST00443,3500,2025-05-06,Cash
ST00444,3500,2025-03-11,Bank Transfer
ST00445,4000,2025-05-09,Mobile
ST00446,3500,2025-05-07,Mobile
ST00447,4000,2025-01-15,Bank Transfer
ST00448,3000,2025-01-24,Cash
ST00449,3500,2025-07-11,Mobile
ST00450,3000,2025-02-19,Cash
ST00451,4000,2025-04-28,Mobile
ST00452,3500,2025-05-21,Mobile
ST00453,3000,2025-02-04,Cash
ST00454,3000,2025-05-30,Bank Transfer
ST00455,4000,2025-06-22,Cash
ST00456,3000,2025-05-01,Mobile
ST00457,3000,2025-02-23,Cash
ST00458,4000,2025-06-05,Cash
ST00459,4000,2025-03-23,Cash
ST00460,3000,2025-03-25,Cash
ST00461,4000,2025-02-15,Cash
ST00462,3500,2025-05-28,Bank Transfer
ST00463,4000,2025-03-01,Mobile
ST00464,4000,2025-02-25,Cash
ST00465,3000,2025-03-06,Mobile
ST00466,4000,2025-01-25,Bank Transfer
ST00467,3000,2025-06-22,Mobile
ST00468,3500,2025-03-03,Cash
ST00469,3500,2025-01-10,Bank Transfer
ST00470,4000,2025-04-23,Mobile
ST00471,4000,2025-06-24,Cash
ST00472,4000,2025-01-28,Mobile
ST00473,4000,2025-05-12,Cash
ST00474,4000,2025-02-17,Mobile
ST00475,3500,2025-05-29,Mobile
ST00476,3000,2025-07-01,Mobile
ST00477,3000,2025-02-22,Cash
ST00478,3500,2025-06-22,Bank Transfer
ST00479,3000,2025-03-04,Cash
ST00480,3000,2025-02-20,Bank Transfer
ST00481,4000,2025-05-05,Bank Transfer
ST00482,3000,2025-06-28,Mobile
ST00483,4000,2025-04-07,Mobile
ST00484,3500,2025-06-05,Cash
ST00485,3000,2025-01-21,Bank Transfer
ST00486,3000,2025-05-13,Cash
ST00487,4000,2025-04-13,Mobile
ST00488,3500,2025-04-27,Cash
ST00489,4000,2025-06-26,Mobile
ST00490,3500,2025-05-21,Bank Transfer
ST00491,3000,2025-06-05,Bank Transfer
ST00492,3000,2025-04-22,Mobile
ST00493,4000,2025-01-08,Mobile
ST00494,3500,2025-03-21,Cash
ST00495,3500,2025-03-12,Bank Transfer
ST00496,3500,2025-01-26,Cash
ST00497,3500,2025-05-21,Cash
ST00498,3000,2025-07-09,Mobile
ST00499,3000,2025-06-27,Mobile
ST00500,3500,2025-01-26,Bank Transfer
ST00501,3500,2025-05-17,Cash
ST00502,3500,2025-01-22,Mobile
ST00503,4000,2025-03-27,Cash
ST00504,3000,2025-01-19,Mobile
ST00505,4000,2025-04-17,Cash
ST00506,4000,2025-02-26,Bank Transfer
ST00507,4000,2025-01-04,Bank Transfer
ST00508,3000,2025-03-07,Cash
ST00509,3500,2025-04-20,Bank Transfer
ST00510,3500,2025-05-21,Cash
ST00511,3500,2025-06-05,Bank Transfer
ST00512,3500,2025-06-19,Bank Transfer
ST00513,3500,2025-03-28,Cash
ST00514,4000,2025-07-09,Bank Transfer
ST00515,3000,2025-03-21,Cash
ST00516,4000,2025-06-30,Bank Transfer
ST00517,3500,2025-02-18,Bank Transfer
ST00518,3000,2025-04-20,Cash
ST00519,3500,2025-04-03,Mobile
ST00520,4000,2025-04-21,Bank Transfer
ST00521,4000,2025-06-16,Mobile
ST00522,3500,2025-01-26,Cash
ST00523,3500,2025-05-14,Cash
ST00524,4000,2025-03-29,Cash
ST00525,4000,2025-01-15,Mobile
ST00526,3500,2025-03-16,Bank Transfer
ST00527,3500,2025-05-19,Mobile
ST00528,3000,2025-05-14,Cash
ST00529,3000,2025-04-29,Mobile
ST00530,3500,2025-06-25,Bank Transfer
ST00531,3500,2025-04-07,Bank Transfer
ST00532,4000,2025-04-17,Cash
ST00533,3000,2025-06-19,Cash
ST00534,4000,2025-02-27,Mobile
ST00535,3000,2025-03-26,Mobile
ST00536,4000,2025-01-14,Bank Transfer
ST00537,4000,2025-01-26,Cash
ST00538,4000,2025-06-21,Cash
ST00539,3000,2025-01-29,Bank Transfer
ST00540,3000,2025-02-04,Cash
ST00541,4000,2025-03-23,Mobile
ST00542,3000,2025-02-28,Cash
ST00543,3500,2025-07-05,Bank Transfer
ST00544,4000,2025-04-12,Bank Transfer
ST00545,3000,2025-05-13,Mobile
ST00546,4000,2025-01-30,Cash
ST00547,4000,2025-01-15,Mobile
ST00548,3000,2025-02-25,Mobile
